codigo_uf,uf,nome,regiao,area_km2,latitude,longitude
11,RO,Rondônia,Norte,237765,-10.83,-63.34
12,AC,Acre,Norte,164124,-8.77,-70.55
13,AM,Amazonas,Norte,1559148,-3.47,-65.1
14,RR,Roraima,Norte,224301,1.99,-61.33
15,PA,Pará,Norte,1247956,-3.79,-52.48
16,AP,Amapá,Norte,142829,1.41,-51.77
17,TO,Tocantins,Norte,277721,-9.46,-48.26
21,MA,Maranhão,Nordeste,331937,-5.42,-45.44
22,PI,Piauí,Nordeste,251612,-6.6,-42.28
23,CE,Ceará,Nordeste,148888,-5.2,-39.53
24,RN,Rio Grande do Norte,Nordeste,52811,-5.81,-36.59
25,PB,Paraíba,Nordeste,56468,-7.28,-36.72
26,PE,Pernambuco,Nordeste,98076,-8.38,-37.86
27,AL,Alagoas,Nordeste,27848,-9.62,-36.82
28,SE,Sergipe,Nordeste,21918,-10.57,-37.45
29,BA,Bahia,Nordeste,564733,-13.29,-41.71
31,MG,Minas Gerais,Sudeste,586521,-18.1,-44.38
32,ES,Espírito Santo,Sudeste,46089,-19.19,-40.34
33,RJ,Rio de Janeiro,Sudeste,43782,-22.25,-42.66
35,SP,São Paulo,Sudeste,248222,-22.19,-48.79
41,PR,Paraná,Sul,199308,-24.89,-51.55
42,SC,Santa Catarina,Sul,95738,-27.45,-50.95
43,RS,Rio Grande do Sul,Sul,268753,-30.17,-53.5
50,MS,Mato Grosso do Sul,Centro-Oeste,357145,-20.51,-54.54
51,MT,Mato Grosso,Centro-Oeste,903199,-12.64,-55.42
52,GO,Goiás,Centro-Oeste,340110,-15.98,-49.86
53,DF,Distrito Federal,Centro-Oeste,5780,-15.83,-47.86
