codigo_ibge,nome,codigo_uf,capital,latitude,longitude,ddd,fuso_horario
1100015,Alta Floresta D'Oeste,11,0,-11.9283,-61.9953,69,America/Porto_Velho
1100023,Ariquemes,11,0,-9.90571,-63.0325,69,America/Porto_Velho
1100031,Cabixi,11,0,-13.4945,-60.552,69,America/Porto_Velho
1100049,Cacoal,11,0,-11.4343,-61.4562,69,America/Porto_Velho
1100056,Cerejeiras,11,0,-13.187,-60.8168,69,America/Porto_Velho
1100064,Colorado do Oeste,11,0,-13.1174,-60.5454,69,America/Porto_Velho
1100072,Corumbiara,11,0,-12.9551,-60.8947,69,America/Porto_Velho
1100080,Costa Marques,11,0,-12.4367,-64.228,69,America/Porto_Velho
1100098,Espigão D'Oeste,11,0,-11.5266,-61.0252,69,America/Porto_Velho
1100106,Guajará-Mirim,11,0,-10.7889,-65.3296,69,America/Porto_Velho
1100114,Jaru,11,0,-10.4318,-62.4788,69,America/Porto_Velho
1100122,Ji-Paraná,11,0,-10.8777,-61.9322,69,America/Porto_Velho
1100130,Machadinho D'Oeste,11,0,-9.44363,-61.9818,69,America/Porto_Velho
1100148,Nova Brasilândia D'Oeste,11,0,-11.7247,-62.3127,69,America/Porto_Velho
1100155,Ouro Preto do Oeste,11,0,-10.7167,-62.2565,69,America/Porto_Velho
1100189,Pimenta Bueno,11,0,-11.672,-61.198,69,America/Porto_Velho
1100205,Porto Velho,11,1,-8.76077,-63.8999,69,America/Porto_Velho
1100254,Presidente Médici,11,0,-11.169,-61.8986,69,America/Porto_Velho
1100262,Rio Crespo,11,0,-9.69965,-62.9011,69,America/Porto_Velho
1100288,Rolim de Moura,11,0,-11.7271,-61.7714,69,America/Porto_Velho
1100296,Santa Luzia D'Oeste,11,0,-11.9074,-61.7777,69,America/Porto_Velho
1100304,Vilhena,11,0,-12.7502,-60.1488,69,America/Porto_Velho
1100320,São Miguel do Guaporé,11,0,-11.6953,-62.7192,69,America/Porto_Velho
1100338,Nova Mamoré,11,0,-10.4077,-65.3346,69,America/Porto_Velho
1100346,Alvorada D'Oeste,11,0,-11.3463,-62.2847,69,America/Porto_Velho
1100379,Alto Alegre dos Parecis,11,0,-12.132,-61.835,69,America/Porto_Velho
1100403,Alto Paraíso,11,0,-9.71429,-63.3188,69,America/Porto_Velho
1100452,Buritis,11,0,-10.1943,-63.8324,69,America/Porto_Velho
1100502,Novo Horizonte do Oeste,11,0,-11.6961,-61.9951,69,America/Porto_Velho
1100601,Cacaulândia,11,0,-10.349,-62.9043,69,America/Porto_Velho
1100700,Campo Novo de Rondônia,11,0,-10.5712,-63.6266,69,America/Porto_Velho
1100809,Candeias do Jamari,11,0,-8.7907,-63.7005,69,America/Porto_Velho
1100908,Castanheiras,11,0,-11.4253,-61.9482,69,America/Porto_Velho
1100924,Chupinguaia,11,0,-12.5611,-60.8877,69,America/Porto_Velho
1100940,Cujubim,11,0,-9.36065,-62.5846,69,America/Porto_Velho
1101005,Governador Jorge Teixeira,11,0,-10.61,-62.7371,69,America/Porto_Velho
1101104,Itapuã do Oeste,11,0,-9.19687,-63.1809,69,America/Porto_Velho
1101203,Ministro Andreazza,11,0,-11.196,-61.5174,69,America/Porto_Velho
1101302,Mirante da Serra,11,0,-11.029,-62.6696,69,America/Porto_Velho
1101401,Monte Negro,11,0,-10.2458,-63.29,69,America/Porto_Velho
1101435,Nova União,11,0,-10.9068,-62.5564,69,America/Porto_Velho
1101450,Parecis,11,0,-12.1754,-61.6032,69,America/Porto_Velho
1101468,Pimenteiras do Oeste,11,0,-13.4823,-61.0471,69,America/Porto_Velho
1101476,Primavera de Rondônia,11,0,-11.8295,-61.3153,69,America/Porto_Velho
1101484,São Felipe D'Oeste,11,0,-11.9023,-61.5026,69,America/Porto_Velho
1101492,São Francisco do Guaporé,11,0,-12.052,-63.568,69,America/Porto_Velho
1101500,Seringueiras,11,0,-11.8055,-63.0182,69,America/Porto_Velho
1101559,Teixeirópolis,11,0,-10.9056,-62.242,69,America/Porto_Velho
1101609,Theobroma,11,0,-10.2483,-62.3538,69,America/Porto_Velho
1101708,Urupá,11,0,-11.1261,-62.3639,69,America/Porto_Velho
1101757,Vale do Anari,11,0,-9.86215,-62.1876,69,America/Porto_Velho
1101807,Vale do Paraíso,11,0,-10.4465,-62.1352,69,America/Porto_Velho
1200013,Acrelândia,12,0,-9.82581,-66.8972,68,America/Rio_Branco
1200054,Assis Brasil,12,0,-10.9298,-69.5738,68,America/Rio_Branco
1200104,Brasiléia,12,0,-10.995,-68.7497,68,America/Rio_Branco
1200138,Bujari,12,0,-9.81528,-67.955,68,America/Rio_Branco
1200179,Capixaba,12,0,-10.566,-67.686,68,America/Rio_Branco
1200203,Cruzeiro do Sul,12,0,-7.62762,-72.6756,68,America/Rio_Branco
1200252,Epitaciolândia,12,0,-11.0188,-68.7341,68,America/Rio_Branco
1200302,Feijó,12,0,-8.17054,-70.351,68,America/Rio_Branco
1200328,Jordão,12,0,-9.1908,-71.9503,68,America/Rio_Branco
1200336,Mâncio Lima,12,0,-7.61657,-72.8997,68,America/Rio_Branco
1200344,Manoel Urbano,12,0,-8.83291,-69.2679,68,America/Rio_Branco
1200351,Marechal Thaumaturgo,12,0,-8.93898,-72.7997,68,America/Rio_Branco
1200385,Plácido de Castro,12,0,-10.2806,-67.1371,68,America/Rio_Branco
1200393,Porto Walter,12,0,-8.26323,-72.7537,68,America/Rio_Branco
1200401,Rio Branco,12,1,-9.97499,-67.8243,68,America/Rio_Branco
1200427,Rodrigues Alves,12,0,-7.73864,-72.661,68,America/Rio_Branco
1200435,Santa Rosa do Purus,12,0,-9.44652,-70.4902,68,America/Rio_Branco
1200450,Senador Guiomard,12,0,-10.1497,-67.7362,68,America/Rio_Branco
