codigo_ibge,ano,cargo,vagas
,1994,deputado estadual,40
,1994,deputado federal,16
,1994,governador,1
,1994,senador,2
,1998,deputado estadual,40
,1998,deputado federal,16
,1998,governador,1
,1998,senador,1
4200051,2000,prefeito,1
4200051,2000,vereador,9
4200101,2000,prefeito,1
4200101,2000,vereador,11
4200200,2000,prefeito,1
4200200,2000,vereador,9
4200309,2000,prefeito,1
4200309,2000,vereador,9
4200408,2000,prefeito,1
4200408,2000,vereador,9
4200507,2000,prefeito,1
4200507,2000,vereador,9
4200556,2000,prefeito,1
4200556,2000,vereador,9
4200606,2000,prefeito,1
4200606,2000,vereador,9
4200705,2000,prefeito,1
4200705,2000,vereador,9
4200754,2000,prefeito,1
4200754,2000,vereador,9
4200804,2000,prefeito,1
4200804,2000,vereador,9
4200903,2000,prefeito,1
4200903,2000,vereador,9
4201000,2000,prefeito,1
4201000,2000,vereador,9
4201109,2000,prefeito,1
4201109,2000,vereador,9
4201208,2000,prefeito,1
4201208,2000,vereador,9
4201257,2000,prefeito,1
4201257,2000,vereador,9
4201273,2000,prefeito,1
4201273,2000,vereador,9
4201307,2000,prefeito,1
4201307,2000,vereador,9
4201406,2000,prefeito,1
4201406,2000,vereador,15
4201505,2000,prefeito,1
4201505,2000,vereador,9
4201604,2000,prefeito,1
4201604,2000,vereador,9
4201653,2000,prefeito,1
4201653,2000,vereador,9
4201703,2000,prefeito,1
4201703,2000,vereador,9
4201802,2000,prefeito,1
4201802,2000,vereador,9
4201901,2000,prefeito,1
4201901,2000,vereador,9
4201950,2000,prefeito,1
4201950,2000,vereador,9
4202008,2000,prefeito,1
4202008,2000,vereador,17
4202057,2000,prefeito,1
4202057,2000,vereador,9
4202073,2000,prefeito,1
4202073,2000,vereador,9
4202081,2000,prefeito,1
4202081,2000,vereador,9
4202099,2000,prefeito,1
4202099,2000,vereador,9
4202107,2000,prefeito,1
4202107,2000,vereador,9
4202131,2000,prefeito,1
4202131,2000,vereador,9
4202156,2000,prefeito,1
4202156,2000,vereador,9
4202206,2000,prefeito,1
4202206,2000,vereador,9
4202305,2000,prefeito,1
4202305,2000,vereador,15
4202404,2000,prefeito,1
4202404,2000,vereador,21
4202438,2000,prefeito,1
4202438,2000,vereador,9
4202453,2000,prefeito,1
4202453,2000,vereador,9
4202503,2000,prefeito,1
4202503,2000,vereador,9
4202537,2000,prefeito,1
4202537,2000,vereador,9
4202578,2000,prefeito,1
4202578,2000,vereador,9
4202602,2000,prefeito,1
4202602,2000,vereador,9
4202701,2000,prefeito,1
4202701,2000,vereador,9
4202800,2000,prefeito,1
4202800,2000,vereador,11
4202859,2000,prefeito,1
4202859,2000,vereador,9
4202875,2000,prefeito,1
4202875,2000,vereador,9
4202909,2000,prefeito,1
4202909,2000,vereador,15
4203006,2000,prefeito,1
4203006,2000,vereador,15
4203105,2000,prefeito,1
4203105,2000,vereador,9
4203154,2000,prefeito,1
4203154,2000,vereador,9
4203204,2000,prefeito,1
4203204,2000,vereador,11
4203253,2000,prefeito,1
4203253,2000,vereador,9
4203303,2000,prefeito,1
4203303,2000,vereador,9
4203402,2000,prefeito,1
4203402,2000,vereador,9
4203501,2000,prefeito,1
4203501,2000,vereador,11
4203600,2000,prefeito,1
4203600,2000,vereador,13
4203709,2000,prefeito,1
4203709,2000,vereador,9
4203808,2000,prefeito,1
4203808,2000,vereador,15
4203907,2000,prefeito,1
4203907,2000,vereador,9
4203956,2000,prefeito,1
4203956,2000,vereador,11
4204004,2000,prefeito,1
4204004,2000,vereador,9
4204103,2000,prefeito,1
4204103,2000,vereador,9
4204152,2000,prefeito,1
4204152,2000,vereador,9
4204178,2000,prefeito,1
4204178,2000,vereador,9
4204194,2000,prefeito,1
4204194,2000,vereador,9
4204202,2000,prefeito,1
4204202,2000,vereador,19
4204251,2000,prefeito,1
4204251,2000,vereador,11
4204301,2000,prefeito,1
4204301,2000,vereador,17
4204350,2000,prefeito,1
4204350,2000,vereador,9
4204400,2000,prefeito,1
4204400,2000,vereador,11
4204459,2000,prefeito,1
4204459,2000,vereador,9
4204509,2000,prefeito,1
4204509,2000,vereador,11
4204558,2000,prefeito,1
4204558,2000,vereador,11
4204608,2000,prefeito,1
4204608,2000,vereador,21
4204707,2000,prefeito,1
4204707,2000,vereador,11
4204756,2000,prefeito,1
4204756,2000,vereador,9
4204806,2000,prefeito,1
4204806,2000,vereador,13
4204905,2000,prefeito,1
4204905,2000,vereador,9
4205001,2000,prefeito,1
4205001,2000,vereador,9
4205100,2000,prefeito,1
4205100,2000,vereador,9
4205159,2000,prefeito,1
4205159,2000,vereador,9
4205175,2000,prefeito,1
4205175,2000,vereador,9
4205191,2000,prefeito,1
4205191,2000,vereador,9
4205209,2000,prefeito,1
4205209,2000,vereador,9
4205308,2000,prefeito,1
4205308,2000,vereador,9
4205357,2000,prefeito,1
4205357,2000,vereador,9
4205407,2000,prefeito,1
4205407,2000,vereador,21
4205431,2000,prefeito,1
4205431,2000,vereador,9
4205456,2000,prefeito,1
4205456,2000,vereador,11
4205506,2000,prefeito,1
4205506,2000,vereador,13
4205555,2000,prefeito,1
4205555,2000,vereador,9
4205605,2000,prefeito,1
4205605,2000,vereador,9
4205704,2000,prefeito,1
4205704,2000,vereador,9
4205803,2000,prefeito,1
4205803,2000,vereador,9
4205902,2000,prefeito,1
4205902,2000,vereador,13
4206009,2000,prefeito,1
4206009,2000,vereador,11
4206108,2000,prefeito,1
4206108,2000,vereador,9
4206207,2000,prefeito,1
4206207,2000,vereador,9
4206306,2000,prefeito,1
4206306,2000,vereador,11
