codigo_ibge,ano,turno,data_eleicao,cargo,aptos,secoes,comparecimento,abstencoes,votos_validos,votos_brancos,votos_nulos,votos_nominais,votos_legenda
4200051,1994,1,1994-10-03,deputado estadual,2508,0,2173,335,1667,295,208,1653,14
4200051,1994,1,1994-10-03,deputado federal,2508,0,2173,335,1434,472,264,1419,15
4200051,1994,1,1994-10-03,governador,2508,0,2173,335,1860,263,47,1860,0
4200051,1994,1,1994-10-03,presidente,2508,0,2173,335,1914,170,86,1914,0
4200051,1994,1,1994-10-03,senador,2508,0,2173,335,3003,1217,123,3003,0
4200101,1994,1,1994-10-03,deputado estadual,8664,0,6869,1795,4418,1144,1304,4166,252
4200101,1994,1,1994-10-03,deputado federal,8664,0,6869,1795,4098,1412,1356,3853,245
4200101,1994,1,1994-10-03,governador,8664,0,6869,1795,5005,1674,187,5005,0
4200101,1994,1,1994-10-03,presidente,8664,0,6869,1795,5827,670,369,5827,0
4200101,1994,1,1994-10-03,senador,8664,0,6869,1795,8534,4162,1039,8534,0
4200200,1994,1,1994-10-03,deputado estadual,5039,0,4382,657,2636,655,1088,2572,64
4200200,1994,1,1994-10-03,deputado federal,5039,0,4382,657,2283,945,1151,2210,73
4200200,1994,1,1994-10-03,governador,5039,0,4382,657,3572,569,238,3572,0
4200200,1994,1,1994-10-03,presidente,5039,0,4382,657,3714,370,295,3714,0
4200200,1994,1,1994-10-03,senador,5039,0,4382,657,5106,2820,835,5106,0
4200309,1994,1,1994-10-03,deputado estadual,3361,0,2964,397,2135,352,474,2099,36
4200309,1994,1,1994-10-03,deputado federal,3361,0,2964,397,1923,530,508,1890,33
4200309,1994,1,1994-10-03,governador,3361,0,2964,397,2435,430,96,2435,0
4200309,1994,1,1994-10-03,presidente,3361,0,2964,397,2559,244,158,2559,0
4200309,1994,1,1994-10-03,senador,3361,0,2964,397,3875,1622,428,3875,0
4200408,1994,1,1994-10-03,deputado estadual,4679,0,4083,596,2965,524,591,2860,105
4200408,1994,1,1994-10-03,deputado federal,4679,0,4083,596,2221,1070,789,2110,111
4200408,1994,1,1994-10-03,governador,4679,0,4083,596,3363,616,101,3363,0
4200408,1994,1,1994-10-03,presidente,4679,0,4083,596,3491,365,224,3491,0
4200408,1994,1,1994-10-03,senador,4679,0,4083,596,5434,2325,404,5434,0
4200507,1994,1,1994-10-03,deputado estadual,4474,0,3768,706,2551,531,683,2512,39
4200507,1994,1,1994-10-03,deputado federal,4474,0,3768,706,2138,918,709,2097,41
4200507,1994,1,1994-10-03,governador,4474,0,3768,706,3040,639,86,3040,0
4200507,1994,1,1994-10-03,presidente,4474,0,3768,706,3252,334,179,3252,0
